epoch;t;section;numPigs;weight;growth;sd;opt;totalCull;cycleNum;truckNum
103;5;1;360;58.9;6.4;5;0;41;8;1
103;9;2;157;85.7;6.36;7.7;41;41;8;1
104;8;0;360;78.5;6.8;6.55;190;228;8;1
104;6;1;360;65.8;6.24;5.5;0;228;8;1
104;10;2;116;92.2;6.28;8.4;38;228;8;1
105;9;0;170;85.3;6.72;7.1;45;123;8;1
105;7;1;360;71.8;6.24;6;0;123;8;1
105;11;2;78;98.5;6.36;9.05;78;123;8;1
106;10;0;125;91.8;6.8;7.6;41;239;8;1
106;8;1;360;78.1;6.16;6.55;198;239;8;1
106;0;2;360;26.4;6.6;3;0;239;9;1
107;11;0;84;98.8;6.8;8.15;84;127;8;1
107;9;1;162;84.3;6.12;7.1;43;127;8;1
107;1;2;360;33;6.68;3.4;0;127;9;1
108;0;0;360;26.4;6.6;3;0;27;9;1
108;10;1;119;89.9;6.12;7.7;27;27;8;1
108;2;2;360;39.2;6.56;3.8;0;27;9;1
109;1;0;360;32.7;6.64;3.2;0;92;9;1
109;11;1;92;96.1;6.12;8.2;92;92;8;1
109;3;2;360;45.3;6.64;4.3;0;92;9;1
110;2;0;360;39.6;6.68;3.65;0;0;9;0
110;0;1;360;26.4;6.6;3;0;0;9;0
110;4;2;360;51.8;6.64;4.75;0;0;9;0
111;3;0;360;46.4;6.72;4.1;0;0;9;0
111;1;1;360;32.7;6.64;3.05;0;0;9;0
111;5;2;360;59;6.76;5.25;0;0;9;0
112;4;0;360;53.4;6.6;4.6;0;0;9;0
112;2;1;360;39.6;6.64;3.45;0;0;9;0
112;6;2;360;65.1;6.8;5.75;0;0;9;0
113;5;0;360;59.8;6.52;5.1;0;0;9;0
113;3;1;360;46.3;6.6;3.95;0;0;9;0
113;7;2;360;71.3;6.88;6.25;0;0;9;0
114;6;0;360;66.2;6.56;5.6;0;179;9;1
114;4;1;360;52.6;6.52;4.45;0;179;9;1
114;8;2;360;77.7;6.72;6.9;179;179;9;1
115;7;0;360;72.9;6.52;6.1;0;46;9;1
115;5;1;360;58.9;6.64;4.95;0;46;9;1
115;9;2;181;83.9;6.8;7.55;46;46;9;1
116;8;0;360;79.3;6.52;6.75;201;241;9;1
116;6;1;360;65.2;6.6;5.45;0;241;9;1
116;10;2;135;91;6.76;8.15;40;241;9;1
117;9;0;159;85.5;6.64;7.3;42;72;9;1
117;7;1;360;71.7;6.56;5.95;0;72;9;1
117;11;2;95;98.3;6.92;8.85;30;72;9;1
118;10;0;117;92.2;6.64;7.85;38;281;9;1
118;8;1;360;77.9;6.6;6.6;178;281;9;1
118;12;2;65;105.6;6.92;9.45;65;281;9;1
119;11;0;79;99.8;6.68;8.5;79;133;9;1
119;9;1;182;84.5;6.56;7.15;54;133;9;1
119;0;2;360;26.4;6.6;3;0;133;10;1
